stg_item_cd,stg_item_sub_segment_desc_txt,stg_item_segment_desc_txt,stg_item_category_desc_txt,stg_item_sub_dept_desc_txt,stg_item_dept_desc_txt
216007,Bottle,Single Consumption RTD Carbonates,Single Consumption RTD Beverages,RTD Beverages,Beverages
898171,Sinhala,Pickles,Meal Accompaniments,Meal Accompaniments,Grocery
51775,Flavoured,Imported,Flavoured/Cream/Fruit/Chocolate,Biscuits,Grocery
1071124,Small Packs,Tea Biscuits,Sweet Biscuits & Cookies Regular,Biscuits,Grocery
57886,Local,Local,Specialty,Sauce,Grocery
11482,Regular,White Rice,Instant Large,Noodles,Grocery
865555,Cans,Peach,Canned Fruit,Processed/Preserved Fruits,Grocery
1000240,Shower Gel,Shower Gel,Body Cleansing,Hand & Body Care,Household
970432,Eye Liner,Eye Liner,Eye Cosmetics,Cosmetics,Household
391282,Hair Oil,Hair Oil & Tonic,Men's Hair Treatment,Men's Toiletries,Household
217672,Dual Purpose,Washing Detergents Powders,Washing Detergents,Laundry Care,Household
1037590,Liquids,Hand Wash Dish Wash,Dish Wash,Cleaning Consumables,Household
8458,Cleaning Scrubber,Cleaning Scrubber,Sponges & Scrubbers,Cleaning Durables,Household
9736,Prepared Meals,Baby Prepared Meals,Baby Ready Meals,Baby Foods,Household
25927,Torch,Torch,Illumination,General Needs,Household
62989,Normal Skin,Facial Cleansers,Facial Cleansing,Facial Care,Household
139804,Bottles,Nectar,RTD,Juices,Beverages
917359,Bottle,Single Consumption RTD Carbonates,Single Consumption RTD Beverages,RTD Beverages,Beverages
1027231,Bottle,Single Consumption RTD Carbonates,Single Consumption RTD Beverages,RTD Beverages,Beverages
82150,Bottle,Single Consumption RTD Carbonates,Single Consumption RTD Beverages,RTD Beverages,Beverages
7288,Assorted,Assorted,Assorted,Pasta,Grocery
47230,Regular,Imported,Wafers,Biscuits,Grocery
887794,Flavoured,Imported,Flavoured/Cream/Fruit/Chocolate,Biscuits,Grocery
976507,Imported,Multiple Cereal Bars,Cereal Bars,Cereals,Grocery
225295,Large,Plain Regular Noodles,Ambient Regular Noodles,Pasta & Noodles,Grocery
25630,Powders,Powders,Imported,Soups,Grocery
833416,Powders,Powders,Imported,Soups,Grocery
21355,Unclassified,Unclassified,Paste/Mixes,Seasoning,Grocery
915037,Shower Gel,Shower Gel,Body Cleansing,Hand & Body Care,Household
366946,Disposable Razors Pa,Disposable Razors,Razors & Blades,Men's Toiletries,Household
217699,Dual Purpose,Washing Detergents Powders,Washing Detergents,Laundry Care,Household
211372,Liquids,Hand Wash Dish Wash,Dish Wash,Cleaning Consumables,Household
842281,Prepared Meals,Baby Prepared Meals,Baby Ready Meals,Baby Foods,Household
889738,Shampoo,In Wash,Skin and Hair Care,Baby Needs,Household
1018024,Normal Skin,Facial Cleansers,Facial Cleansing,Facial Care,Household
210526,Normal Skin,Facial Cleansers,Facial Cleansing,Facial Care,Household
98053,Car wash,Car wash,Car Care Cleaning  Exterior,Car Care,Household
103975,Complete meals,Dog Food,Pet Food,Pet Care,Household
840625,Soap Powder,Soap Powder,In wash,Laundry,Household
