stg_item_cd,stg_item_sub_segment_desc_txt,stg_item_segment_desc_txt,stg_item_category_desc_txt,stg_item_sub_dept_desc_txt,stg_item_dept_desc_txt
390454,Bottles,Olive Oil,Liquid Cooking Oils & Fats,Oils/Fats,Grocery
925801,Party Banners,Party Banners,Party Accessories,Party Ware,Household
113281,Tea buns,Tea buns,Buns,Bakery,Grocery
224782,Cans,Carbonated Energy Drinks,Energy Drinks,Sports & Energy Drinks,Beverages
1017718,Bottles,Olive Oil,Liquid Cooking Oils & Fats,Oils/Fats,Grocery
36709,Bottles,Olive Oil,Liquid Cooking Oils & Fats,Oils/Fats,Grocery
107080,Clothing,Clothing - Sponge,Car Care Cleaning  Exterior,Car Care,Household
38365,Other Party Accessor,Other Party Accessories,Party Accessories,Party Ware,Household
925414,Party Banners,Party Banners,Party Accessories,Party Ware,Household
996658,Leaves,Leaves,Speciality Tea,Tea,Beverages
816136,Whipping Cream,Whipping Cream,Whipping Cream,Cream,Chilled
1043890,Pieces,Chilies,Spices,Seasoning & Coconut Cream,Grocery
250909,Imported,Salad Cream,Ambient Salad Accompaniments,Meal Accompaniments,Grocery
73510,Imported,Salad Cream,Ambient Salad Accompaniments,Meal Accompaniments,Grocery
97747,Other Dry Fish,Other Dry Fish,Dry,Processed/Preserved Fish,Grocery
264940,Baby Grooming Access,Baby Grooming Accessories,Accessories,Baby Needs,Household
989539,Box,Powdered White Malt Drinks,White Malt Drinks,Malt Drink,Beverages
123577,Other Sweets,Sweet Assorted Packs,Local,Confectionery,Grocery
1028365,Sun Cream,Sun Cream,Sun Protection,Hand & Body Care,Household
1045699,Extra Large,Baby Pants,Baby Nappies,Baby Needs,Household
111148,Baby Grooming Access,Baby Grooming Accessories,Accessories,Baby Needs,Household
189916,Clothing,Clothing - Sponge,Car Care Cleaning  Exterior,Car Care,Household
837430,Large,Flavored Instant Noodles,Ambient Instant Noodles,Pasta & Noodles,Grocery
925729,Party Banners,Party Banners,Party Accessories,Party Ware,Household
3724,Other Dry Fish,Other Dry Fish,Dry,Processed/Preserved Fish,Grocery
457,Sprays,Sprays,Colognes,Skin Care,Household
1073680,Tin,Gift Pack Tea,Gift Pack Tea,Tea,Beverages
107224,Box,Non Flavored Tea - Leaves,Non Flavored Tea,Tea,Beverages
1070449,Bags,Bags,Non Flavored Tea,Tea,Beverages
1008853,Packets,Natural Cheese Block,Chilled Natural Cheese,Cheese,Chilled
819160,Regular,Flavoured,Imported,Yoghurt,Chilled
406285,Packets,Semolina,Semolina,Pulses,Grocery
133,Wheat,Wheat,Wheat,Flour,Grocery
829456,Imported,Imported,Vinegar,Seasoning,Grocery
406060,Hair Removal Creams,Hair Removal Creams,Hair Remover,Hand & Body Care,Household
1078369,Hair Gel,Hair Gel,Men's Hair Styling,Men's Toiletries,Household
997648,Glass & Window Clean,Glass & Window Cleaners,All Purpose Cleaners,Cleaning Consumables,Household
211561,Other Baby Needs,Other Baby Needs,Accessories,Baby Needs,Household
902995,Other Baby Needs,Other Baby Needs,Accessories,Baby Needs,Household
35242,Candle,Candle,Illumination,General Needs,Household
847051,Moisturizer,Facial Moisturizer,Face Cream,Facial Care,Household
850264,All Purpose Cleaner,All Purpose Cleaner,Interior Cleaner,Car Care,Household
23812,Regular Paste,Floride Tooth Paste,Tooth Paste,Oral Care,Household
121489,Shampoo + Conditione,Shampoo + Conditioner,Shampoo,Hair Care,Household
14713,Glass Bottles,Glass Bottles,Glass Bottles,Carbonated,Beverages
11599,Bottles,Regular,RTD,Juices,Beverages
93508,Bottles,Regular,RTD,Juices,Beverages
894283,Cans,Regular,RTD,Juices,Beverages
906397,Box,Non Flavored Tea - Leaves,Non Flavored Tea,Tea,Beverages
269863,Box,Non Flavored Tea - Leaves,Non Flavored Tea,Tea,Beverages
838681,Packets,Natural Cheese Block,Chilled Natural Cheese,Cheese,Chilled
1052503,Packets,Natural Cheese Block,Chilled Natural Cheese,Cheese,Chilled
70504,Pappadam,Pappadam,Meal Accompaniments,Meal Accompaniments,Grocery
827854,Pappadam,Pappadam,Meal Accompaniments,Meal Accompaniments,Grocery
1076929,Big Packs,Puffs,Sweet Biscuits & Cookies Regular,Biscuits,Grocery
834280,Normal,Imported,Tomato Based,Sauce,Grocery
11212,White,Hopper,Instant Mixes,Flour,Grocery
109699,Local,Gram,"Snack-Nuts,Peas & Mixes",Snacks,Grocery
1015117,Imported,Potato/Manioc Snack Crisps & Chips,Snack-Crisps & Chips,Snacks,Grocery
1013344,Imported,Potato/Manioc Snack Crisps & Chips,Snack-Crisps & Chips,Snacks,Grocery
906244,Burger Buns,Burger Buns,Buns,Bakery,Grocery
846403,Unclassified,Unclassified,Unclassified,Cleaning Aids,Household
1052269,Herbal & Natural Soa,Soap,Body Cleansing,Hand & Body Care,Household
1057390,Hair Gel,Hair Gel,Men's Hair Styling,Men's Toiletries,Household
111238,Baby Clothing,Baby Clothing,Baby Clothing,Baby Needs,Household
103417,Umbrella,Umbrella,Umbrella,General Needs,Household
31714,Scented,Candle,Illumination,General Needs,Household
1090888,Moisturizer,Facial Moisturizer,Face Cream,Facial Care,Household
99628,All Purpose Cleaner,All Purpose Cleaner,Interior Cleaner,Car Care,Household
36502,Sprays,Perfumes,Skin Care,Toiletries Men,Household
21292,Box,Non Flavored Tea - Leaves,Non Flavored Tea,Tea,Beverages
893113,Ambarella,Chutneys,Meal Accompaniments,Meal Accompaniments,Grocery
990097,FOW-Thai,FOW-Thai,FOW-Thai,FOW,Grocery
271708,Local,Marsh Mellow,Sugar Confectionary,Confectionery,Grocery
1058362,Local,Marsh Mellow,Sugar Confectionary,Confectionery,Grocery
135016,Imported,Potato/Manioc Snack Crisps & Chips,Snack-Crisps & Chips,Snacks,Grocery
849760,Imported,Imported,Vinegar,Seasoning,Grocery
835900,Powders,Pepper,Spices,Seasoning,Grocery
53080,Protection Soap,Soap,Body Cleansing,Hand & Body Care,Household
73078,Protection Soap,Soap,Body Cleansing,Hand & Body Care,Household
218491,Foot Scrub,Foot Scrub,Foot Care,Hand & Body Care,Household
45790,Candle,Candle,Illumination,General Needs,Household
114505,Scented,Candle,Illumination,General Needs,Household
424060,Lip Balm,Lip Balm,Lip Care,Facial Care,Household
183346,Aerosol,Aerosol,Insecticides,Pest Control,Household
22030,Bottles,Regular,RTD,Juices,Beverages
893707,Bottle,Special Health Ambient Liquid Milk,Ambient Liquid Milk,Milk & Creamers,Beverages
88558,Packets,Natural Cheese Block,Chilled Natural Cheese,Cheese,Chilled
404674,Whole,Pepper,Spices,Seasoning & Coconut Cream,Grocery
131740,Regular,Regular,Salad Dressings,Condiments,Grocery
397159,Golden Syrup,Golden Syrup,Ambient Dessert Syrups & Toppings,Desserts,Grocery
9268,Imported,Potato/Manioc Snack Crisps & Chips,Snack-Crisps & Chips,Snacks,Grocery
1061971,Imported,Potato/Manioc Snack Crisps & Chips,Snack-Crisps & Chips,Snacks,Grocery
1083067,Local,Ready to Eat Popcorn,Popcorn & Popping Corn,Snacks,Grocery
108439,Protection Soap,Soap,Body Cleansing,Hand & Body Care,Household
913138,Protection Soap,Soap,Body Cleansing,Hand & Body Care,Household
1091923,Fabric Softener,Fabric Softener,Fabric Softener,Laundry Care,Household
88999,Umbrella,Umbrella,Umbrella,General Needs,Household
234025,Shoe Care Liquids,Shoe Polish,Shoe Care,General Needs,Household
26989,Toothpastes/Powder,Toothpastes/Powder,Toothpastes/Powder,Oral Care,Household
832588,Toothpastes/Powder,Toothpastes/Powder,Toothpastes/Powder,Oral Care,Household
37231,Collar/Chain,Collar/Chain,Accessories,Pet Care,Household
61954,Regular Balloons,Regular Balloons,Balloons,Party Ware,Household
916,Shampoo,Shampoo,Hair Care,Toiletries Men,Household
1040290,Cosmetic,Cosmetic,Shampoo,Hair Care,Household
918709,Box,Non Flavored Tea - Leaves,Non Flavored Tea,Tea,Beverages
125395,Box,Non Flavored Tea - Leaves,Non Flavored Tea,Tea,Beverages
1091743,Bottle,Cheese Spreads,Cheese Spreads,Spreads,Chilled
1087738,Whole,Cardamom,Spices,Seasoning & Coconut Cream,Grocery
349486,Corn Flour,Corn Flour,Dessert Ingredients,Desserts,Grocery
1042234,Local,Ready to Eat Popcorn,Popcorn & Popping Corn,Snacks,Grocery
730717,Popped,Savoury,Pop Corn,Snacks,Grocery
307366,Herbal & Natural Soa,Soap,Body Cleansing,Hand & Body Care,Household
99223,Hair Gel,Hair Gel,Men's Hair Styling,Men's Toiletries,Household
270619,Fabric Softener,Fabric Softener,Fabric Softener,Laundry Care,Household
270601,Fabric Softener,Fabric Softener,Fabric Softener,Laundry Care,Household
268774,Baby Clothing,Baby Clothing,Baby Clothing,Baby Needs,Household
262168,Baby Body Oil,Baby Body Oil,Baby Skin Care,Baby Needs,Household
106999,Umbrella,Umbrella,Umbrella,General Needs,Household
89017,Umbrella,Umbrella,Umbrella,General Needs,Household
110626,Candle,Candle,Illumination,General Needs,Household
50569,Need Based Facial Cl,Facial Cleansers,Facial Cleansing,Facial Care,Household
99610,All Purpose Cleaner,All Purpose Cleaner,Interior Cleaner,Car Care,Household
68551,Aerosol,Aerosol,Insecticides,Pest Control,Household
1072888,Regular Balloons,Regular Balloons,Balloons,Party Ware,Household
141451,Cans,Regular,RTD,Juices,Beverages
1044277,Box,Non Flavored Tea - Leaves,Non Flavored Tea,Tea,Beverages
131227,Wheat,Wheat,Wheat,Flour,Grocery
1012759,Lip Gloss,Lip Gloss,Lip Cosmetics,Cosmetics,Household
996163,Lip Gloss,Lip Gloss,Lip Cosmetics,Cosmetics,Household
847483,Shaving Gel,Shaving Gel,Pre Shave,Men's Toiletries,Household
270628,Fabric Softener,Fabric Softener,Fabric Softener,Laundry Care,Household
361177,Laundry Aids,Laundry Aids,Laundry Aids,Laundry Care,Household
361609,Laundry Aids,Laundry Aids,Laundry Aids,Laundry Care,Household
997666,All Purpose Floor &,All Purpose Floor & Tile Cleaners,All Purpose Cleaners,Cleaning Consumables,Household
660058,Candle,Candle,Illumination,General Needs,Household
1028257,Need Based Facial Cl,Facial Cleansers,Facial Cleansing,Facial Care,Household
885031,All Purpose Cleaner,All Purpose Cleaner,Interior Cleaner,Car Care,Household
98944,All Purpose Cleaner,All Purpose Cleaner,Interior Cleaner,Car Care,Household
13057,All Purpose Cleaner,All Purpose Cleaner,Interior Cleaner,Car Care,Household
858517,Toothpastes/Powder,Toothpastes/Powder,Toothpastes/Powder,Oral Care,Household
132352,Regular Serviettes &,Regular Serviettes & Napkins,Serviettes & Napkins,Paper Goods,Household
109249,Bottles,Regular,RTD,Juices,Beverages
886993,Sticks,Imported,Wafers,Biscuits,Grocery
137329,Sticks,Imported,Wafers,Biscuits,Grocery
277378,Local,Gram,"Snack-Nuts,Peas & Mixes",Snacks,Grocery
409183,Imported,Potato/Manioc Snack Crisps & Chips,Snack-Crisps & Chips,Snacks,Grocery
1083589,Imported,Potato/Manioc Snack Crisps & Chips,Snack-Crisps & Chips,Snacks,Grocery
994345,Protection Soap,Soap,Body Cleansing,Hand & Body Care,Household
124720,Lip Gloss,Lip Gloss,Lip Cosmetics,Cosmetics,Household
850507,Glass & Window Clean,Glass & Window Cleaners,All Purpose Cleaners,Cleaning Consumables,Household
590056,Regular Serviettes &,Regular Serviettes & Napkins,Serviettes & Napkins,Paper Goods,Household
3220,Non Alcoholic Wine,Non Alcoholic Wine,Non Alcoholic Wine,Non Alcoholic Beers and Wines,Beverages
990322,FOW-Thai,FOW-Thai,FOW-Thai,FOW,Grocery
413134,Packets,Semolina,Semolina,Pulses,Grocery
1098961,Yeast,Yeast,Dessert Ingredients,Desserts,Grocery
843307,Bottles,Tomato Pasta Sauce,Pasta Sauce,Pasta & Noodles,Grocery
110095,Imported,Potato/Manioc Snack Crisps & Chips,Snack-Crisps & Chips,Snacks,Grocery
38023,Imported,Potato/Manioc Snack Crisps & Chips,Snack-Crisps & Chips,Snacks,Grocery
33442,Local,Ready to Eat Popcorn,Popcorn & Popping Corn,Snacks,Grocery
266776,Local,Ready to Eat Popcorn,Popcorn & Popping Corn,Snacks,Grocery
282643,Hair Removal Creams,Hair Removal Creams,Hair Remover,Hand & Body Care,Household
1078387,Hair Gel,Hair Gel,Men's Hair Styling,Men's Toiletries,Household
59389,Umbrella,Umbrella,Umbrella,General Needs,Household
1085911,Moisturizer,Facial Moisturizer,Face Cream,Facial Care,Household
1067992,Regular Paste,Floride Tooth Paste,Tooth Paste,Oral Care,Household
1026232,Pet Grooming Other,Pet Grooming Other,Pet Grooming,Pet Care,Household
30733,Razors,Razors,Shaving Accessories,Toiletries Men,Household
820096,Non Alcoholic Wine,Non Alcoholic Wine,Non Alcoholic Wine,Non Alcoholic Beers and Wines,Beverages
92248,Packets,Natural Cheese Block,Chilled Natural Cheese,Cheese,Chilled
817468,Regular,Flavoured,Imported,Yoghurt,Chilled
1113928,Local,Mayonnaise,Ambient Salad Accompaniments,Meal Accompaniments,Grocery
894022,Bottles,Tomato Pasta Sauce,Pasta Sauce,Pasta & Noodles,Grocery
61495,Local,Ready to Eat Popcorn,Popcorn & Popping Corn,Snacks,Grocery
212839,Other Baby Needs,Other Baby Needs,Accessories,Baby Needs,Household
103876,Umbrella,Umbrella,Umbrella,General Needs,Household
50821,Candle,Candle,Illumination,General Needs,Household
91951,Regular Paste,Floride Tooth Paste,Tooth Paste,Oral Care,Household
903031,Regular Paste,Floride Tooth Paste,Tooth Paste,Oral Care,Household
842767,Shampoo + Conditione,Shampoo + Conditioner,Shampoo,Hair Care,Household
115828,Cans,Regular,RTD,Juices,Beverages
998494,Box,Non Flavored Tea - Leaves,Non Flavored Tea,Tea,Beverages
365119,Box,Non Flavored Tea - Leaves,Non Flavored Tea,Tea,Beverages
263950,Box,Non Flavored Tea - Leaves,Non Flavored Tea,Tea,Beverages
392056,Watalappan,Watalappan,Chillled Puddings,Desserts,Chilled
27799,Packets,Flavoured,Full Cream,Milk,Chilled
89845,Local,Crackers,Savory Biscuits Regular,Biscuits,Grocery
96964,Maple Syrup,Maple Syrup,Ambient Dessert Syrups & Toppings,Desserts,Grocery
862567,Cocoa Powder,Cocoa Powder,Dessert Ingredients,Desserts,Grocery
72655,Local,Gram,"Snack-Nuts,Peas & Mixes",Snacks,Grocery
997981,Imported,Potato/Manioc Snack Crisps & Chips,Snack-Crisps & Chips,Snacks,Grocery
907441,Imported,Potato/Manioc Snack Crisps & Chips,Snack-Crisps & Chips,Snacks,Grocery
1040911,Female Fragrance Gif,Female Fragrance Gift Packs,Female Fragrance Gift Packs,Female Fragrance,Household
1029724,Female Fragrance Gif,Female Fragrance Gift Packs,Female Fragrance Gift Packs,Female Fragrance,Household
907747,Men's Face Creams,Men's Face Creams,Men's Facial Care,Men's Toiletries,Household
898801,All Purpose Floor &,All Purpose Floor & Tile Cleaners,All Purpose Cleaners,Cleaning Consumables,Household
910348,Other Baby Needs,Other Baby Needs,Accessories,Baby Needs,Household
418345,Candle,Candle,Illumination,General Needs,Household
894670,All Purpose Cleaner,All Purpose Cleaner,Interior Cleaner,Car Care,Household
18061,Regular Balloons,Regular Balloons,Balloons,Party Ware,Household
118996,Regular Balloons,Regular Balloons,Balloons,Party Ware,Household
878515,Peanut Butter,Peanut Butter,Peanut Butter,Spreads,Grocery
850138,Foot Scrub,Foot Scrub,Foot Care,Hand & Body Care,Household
207502,Stain Removers,Stain Removers,Laundry Bleach,Laundry Care,Household
151873,Spray Starch,Spray Starch,Fabric Fresheners & Ironing,Laundry Care,Household
18394,Bath Room Racks,Bath Room Racks,Cleaning Other Accessories,Cleaning Durables,Household
902410,Other Baby Needs,Other Baby Needs,Accessories,Baby Needs,Household
252925,Wind screener -glass,Wind screener -glass cleaner,Car Care Cleaning  Exterior,Car Care,Household
21256,All Purpose Cleaner,All Purpose Cleaner,Interior Cleaner,Car Care,Household
1035673,Regular Paste,Floride Tooth Paste,Tooth Paste,Oral Care,Household
82402,Regular Paste,Floride Tooth Paste,Tooth Paste,Oral Care,Household
46168,Toothpastes/Powder,Toothpastes/Powder,Toothpastes/Powder,Oral Care,Household
94642,Collar/Chain,Collar/Chain,Accessories,Pet Care,Household
58885,Regular Balloons,Regular Balloons,Balloons,Party Ware,Household
108169,Bottles,Regular,RTD,Juices,Beverages
1031236,Box,Non Flavored Tea - Leaves,Non Flavored Tea,Tea,Beverages
1024324,Packets,Natural Cheese Block,Chilled Natural Cheese,Cheese,Chilled
129436,Whole,Pepper,Spices,Seasoning & Coconut Cream,Grocery
367540,Packets,Sesame,Sesame,Pulses,Grocery
766555,Macaroni,Macaroni,Macaroni,Pasta,Grocery
212596,Local,Rice Cereals,Packaged Cereals,Cereals,Grocery
63394,Imported,Potato/Manioc Snack Crisps & Chips,Snack-Crisps & Chips,Snacks,Grocery
831886,Imported,Potato/Manioc Snack Crisps & Chips,Snack-Crisps & Chips,Snacks,Grocery
16459,Imported,Potato/Manioc Snack Crisps & Chips,Snack-Crisps & Chips,Snacks,Grocery
207988,Refill,Hand wash,Hand Cleansing,Hand & Body Care,Household
1002544,Lip Gloss,Lip Gloss,Lip Cosmetics,Cosmetics,Household
1028491,Lip Balm,Lip Balm,Lip Care,Facial Care,Household
98323,All Purpose Cleaner,All Purpose Cleaner,Interior Cleaner,Car Care,Household
82393,Regular Paste,Floride Tooth Paste,Tooth Paste,Oral Care,Household
138436,Plates,Plates,Plates,Party Ware,Household
119905,Razors,Razors,Shaving Accessories,Toiletries Men,Household
160693,Glass Bottles,Glass Bottles,Glass Bottles,Carbonated,Beverages
843955,Glass Bottles,Glass Bottles,Glass Bottles,Carbonated,Beverages
146878,Glass Bottles,Glass Bottles,Glass Bottles,Carbonated,Beverages
223045,Cans,Regular,RTD,Juices,Beverages
425815,Box,Non Flavored Tea - Leaves,Non Flavored Tea,Tea,Beverages
994687,Watalappan,Watalappan,Chillled Puddings,Desserts,Chilled
815677,Packets,Flavoured,Full Cream,Milk,Chilled
233395,Ambarella,Chutneys,Meal Accompaniments,Meal Accompaniments,Grocery
25126,Blocks,Room,Air Freshener,Cleaning Aids,Household
994327,Protection Soap,Soap,Body Cleansing,Hand & Body Care,Household
1111777,Fabric Softener,Fabric Softener,Fabric Softener,Laundry Care,Household
902986,Other Baby Needs,Other Baby Needs,Accessories,Baby Needs,Household
101977,Umbrella,Umbrella,Umbrella,General Needs,Household
1089799,Lip Balm,Lip Balm,Lip Care,Facial Care,Household
225106,Lip Balm,Lip Balm,Lip Care,Facial Care,Household
842848,Toothpastes/Powder,Toothpastes/Powder,Toothpastes/Powder,Oral Care,Household
877768,Insectisides Powders,Insectisides Powders,Insecticides,Pest Control,Household
62791,Shampoo + Conditione,Shampoo + Conditioner,Shampoo,Hair Care,Household
39445,Bottles,Regular,RTD,Juices,Beverages
125314,Box,Non Flavored Tea - Leaves,Non Flavored Tea,Tea,Beverages
829402,Cans,Pork,Canned Meat,Processed/Preserved Meat,Grocery
126691,Liquids,Liquids,Coconut Milk,Processed/Preserved Fruits,Grocery
109078,Imported,Potato/Manioc Snack Crisps & Chips,Snack-Crisps & Chips,Snacks,Grocery
268828,Baby Clothing,Baby Clothing,Baby Clothing,Baby Needs,Household
66481,Baby Clothing,Baby Clothing,Baby Clothing,Baby Needs,Household
117007,Shoe Care Liquids,Shoe Polish,Shoe Care,General Needs,Household
835945,All Purpose Cleaner,All Purpose Cleaner,Interior Cleaner,Car Care,Household
136033,Toothpastes/Powder,Toothpastes/Powder,Toothpastes/Powder,Oral Care,Household
159793,Glass Bottles,Glass Bottles,Glass Bottles,Carbonated,Beverages
904003,Box,Non Flavored Tea - Leaves,Non Flavored Tea,Tea,Beverages
1108375,Processed Block,Cheddar Cheese,Cheese Blocks,Cheese,Chilled
1079278,Packets,Natural Cheese Block,Chilled Natural Cheese,Cheese,Chilled
12787,Packets,Natural Cheese Block,Chilled Natural Cheese,Cheese,Chilled
5047,Local,Marsh Mellow,Sugar Confectionary,Confectionery,Grocery
250216,Local,Rice Cereals,Packaged Cereals,Cereals,Grocery
957706,Imported,Potato/Manioc Snack Crisps & Chips,Snack-Crisps & Chips,Snacks,Grocery
788092,Imported,Potato/Manioc Snack Crisps & Chips,Snack-Crisps & Chips,Snacks,Grocery
1005847,Imported,Potato/Manioc Snack Crisps & Chips,Snack-Crisps & Chips,Snacks,Grocery
715939,Local,Potato,Crisp/Chips,Snacks,Grocery
1085767,Protection Soap,Soap,Body Cleansing,Hand & Body Care,Household
388204,Fabric Softener,Fabric Softener,Fabric Softener,Laundry Care,Household
1024945,Fabric Softener,Fabric Softener,Fabric Softener,Laundry Care,Household
74230,Glass & Window Clean,Glass & Window Cleaners,All Purpose Cleaners,Cleaning Consumables,Household
1058173,Umbrella,Umbrella,Umbrella,General Needs,Household
57247,Candle,Candle,Illumination,General Needs,Household
911986,Facial Wet Wipes,Facial Wet Wipes,Wet Wipes,Paper Goods,Household
14236,Toilet Rolls,Toilet Rolls,Toilet Rolls,Paper Goods,Household
40813,Regular Balloons,Regular Balloons,Balloons,Party Ware,Household
1086802,Cosmetic,Cosmetic,Shampoo,Hair Care,Household
139426,Bottles,Regular,RTD,Juices,Beverages
306223,Bottles,Regular,RTD,Juices,Beverages
1096351,Tetra,Single Consumption RTD Juices,Single Consumption RTD Beverages,RTD Beverages,Beverages
383893,Box,Non Flavored Tea - Leaves,Non Flavored Tea,Tea,Beverages
834622,Box,Non Flavored Tea - Leaves,Non Flavored Tea,Tea,Beverages
21274,Bags,Bags,Non Flavored Tea,Tea,Beverages
82078,Bags,Bags,Non Flavored Tea,Tea,Beverages
35494,Bags,Bags,Non Flavored Tea,Tea,Beverages
1079296,Packets,Natural Cheese Cream,Chilled Natural Cheese,Cheese,Chilled
223972,Whole,Cardamom,Spices,Seasoning & Coconut Cream,Grocery
1062961,FOW-Thai,FOW-Thai,FOW-Thai,FOW,Grocery
1088980,Sachet,Chocolate Spreads,Ambient Spreads,Spreads,Grocery
1097107,Imported,Potato/Manioc Snack Crisps & Chips,Snack-Crisps & Chips,Snacks,Grocery
267622,Imported,Potato/Manioc Snack Crisps & Chips,Snack-Crisps & Chips,Snacks,Grocery
1029742,Female Fragrance Gif,Female Fragrance Gift Packs,Female Fragrance Gift Packs,Female Fragrance,Household
899035,Fabric Softener,Fabric Softener,Fabric Softener,Laundry Care,Household
106414,Umbrella,Umbrella,Umbrella,General Needs,Household
871441,Shoe Care Liquids,Shoe Polish,Shoe Care,General Needs,Household
103003,Fragrance Access.,Fragrance Access.,Fragrance Access.,Car Care,Household
992950,Regular Paste,Floride Tooth Paste,Tooth Paste,Oral Care,Household
903220,Regular Paste,Floride Tooth Paste,Tooth Paste,Oral Care,Household
43459,Popper/ Spray/Horns,Popper/ Spray/Horns,Party Accessories,Party Ware,Household
90295,Shampoo + Conditione,Shampoo + Conditioner,Shampoo,Hair Care,Household
82906,Glass Bottles,Glass Bottles,Glass Bottles,Carbonated,Beverages
998467,Box,Non Flavored Tea - Leaves,Non Flavored Tea,Tea,Beverages
1098682,Bottle,Carbonated Sports Drinks,Sports Drinks,Sports & Energy Drinks,Beverages
854548,Regular,Flavoured,Imported,Yoghurt,Chilled
1087882,Whole,Pepper,Spices,Seasoning & Coconut Cream,Grocery
1000933,FOW-Thai,FOW-Thai,FOW-Thai,FOW,Grocery
1076038,Local,Marsh Mellow,Sugar Confectionary,Confectionery,Grocery
1113910,Local,Sauces - Chillie Based,Ambient Table Sauces,Sauce,Grocery
908368,Bottles,Tomato Pasta Sauce,Pasta Sauce,Pasta & Noodles,Grocery
226213,Hair Removal Creams,Hair Removal Creams,Hair Remover,Hand & Body Care,Household
902887,Other Baby Needs,Other Baby Needs,Accessories,Baby Needs,Household
910339,Other Baby Needs,Other Baby Needs,Accessories,Baby Needs,Household
902797,Other Baby Needs,Other Baby Needs,Accessories,Baby Needs,Household
268882,Other Baby Needs,Other Baby Needs,Accessories,Baby Needs,Household
107116,Umbrella,Umbrella,Umbrella,General Needs,Household
67012,Umbrella,Umbrella,Umbrella,General Needs,Household
45313,Candle,Candle,Illumination,General Needs,Household
1004875,Regular Paste,Floride Tooth Paste,Tooth Paste,Oral Care,Household
834127,Cans,Regular,RTD,Juices,Beverages
839050,Cans,Regular,RTD,Juices,Beverages
1031245,Box,Non Flavored Tea - Leaves,Non Flavored Tea,Tea,Beverages
1098664,Bottle,Carbonated Sports Drinks,Sports Drinks,Sports & Energy Drinks,Beverages
1110094,Flavored Cheese,Cheese Regular Portions,Cheese Portions,Cheese,Chilled
283930,Pappadam,Pappadam,Meal Accompaniments,Meal Accompaniments,Grocery
409156,Imported,Potato/Manioc Snack Crisps & Chips,Snack-Crisps & Chips,Snacks,Grocery
132991,Lip Gloss,Lip Gloss,Lip Cosmetics,Cosmetics,Household
940111,Cleaning Wipers,Cleaning Wipers,"Brooms , Brushers & Mops",Cleaning Durables,Household
109141,Baby Clothing,Baby Clothing,Baby Clothing,Baby Needs,Household
902635,Other Baby Needs,Other Baby Needs,Accessories,Baby Needs,Household
902509,Other Baby Needs,Other Baby Needs,Accessories,Baby Needs,Household
98971,Moisturizer,Facial Moisturizer,Face Cream,Facial Care,Household
701116,All Purpose Cleaner,All Purpose Cleaner,Interior Cleaner,Car Care,Household
127942,Fragrance Access.,Fragrance Access.,Fragrance Access.,Car Care,Household
918817,Regular Serviettes &,Regular Serviettes & Napkins,Serviettes & Napkins,Paper Goods,Household
97135,Razors,Razors,Shaving Accessories,Toiletries Men,Household
263824,Box,Non Flavored Tea - Leaves,Non Flavored Tea,Tea,Beverages
40453,Non Alcoholic Wine,Non Alcoholic Wine,Non Alcoholic Wine,Non Alcoholic Beers and Wines,Beverages
91735,Packets,Natural Cheese Block,Chilled Natural Cheese,Cheese,Chilled
983770,Emmental,Processed Cheese Block,Chilled Processed Cheese,Cheese,Chilled
1031479,Bottle,Cheese Spreads,Cheese Spreads,Spreads,Chilled
815659,Packets,Flavoured,Full Cream,Milk,Chilled
1062916,FOW-Thai,FOW-Thai,FOW-Thai,FOW,Grocery
1076056,Big Packs,Cookies,Sweet Biscuits & Cookies Regular,Biscuits,Grocery
398626,Local,Ambient Pudding,Sugar Confectionary,Confectionery,Grocery
45646,Local,Sauces - Chillie Based,Ambient Table Sauces,Sauce,Grocery
144241,Local,Sauces - Chillie Based,Ambient Table Sauces,Sauce,Grocery
1104082,Herbal & Natural Soa,Soap,Body Cleansing,Hand & Body Care,Household
350296,Spray Starch,Spray Starch,Fabric Fresheners & Ironing,Laundry Care,Household
82474,Moisturizer,Facial Moisturizer,Face Cream,Facial Care,Household
1045780,Facial Wet Wipes,Facial Wet Wipes,Wet Wipes,Paper Goods,Household
277072,Popper/ Spray/Horns,Popper/ Spray/Horns,Party Accessories,Party Ware,Household
11914,Hair Oil,Hair Oil,Hair Oil,Hair Care,Household
875284,Cosmetic,Cosmetic,Shampoo,Hair Care,Household
93490,Bottles,Regular,RTD,Juices,Beverages
1012129,Box,Non Flavored Tea - Leaves,Non Flavored Tea,Tea,Beverages
1096801,Watalappan,Watalappan,Chillled Puddings,Desserts,Chilled
848320,Packets,Natural Cheese Block,Chilled Natural Cheese,Cheese,Chilled
173257,Local,Marsh Mellow,Sugar Confectionary,Confectionery,Grocery
898405,Pickles,Pickles,Pickles,Condiments,Grocery
785104,Imported,Potato/Manioc Snack Crisps & Chips,Snack-Crisps & Chips,Snacks,Grocery
267613,Imported,Potato/Manioc Snack Crisps & Chips,Snack-Crisps & Chips,Snacks,Grocery
61090,Protection Soap,Soap,Body Cleansing,Hand & Body Care,Household
78064,Men's Face Creams,Men's Face Creams,Men's Facial Care,Men's Toiletries,Household
1078351,Hair Gel,Hair Gel,Men's Hair Styling,Men's Toiletries,Household
951973,All Purpose Floor &,All Purpose Floor & Tile Cleaners,All Purpose Cleaners,Cleaning Consumables,Household
